Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,174.199997,174.289993,170.720001,172.339996,163.306503,5863300
2016-01-20,169.589996,171.880005,165.960007,170.320007,161.392410,8577600
2016-01-21,170.789993,173.139999,169.330002,171.149994,162.178879,3004600
2016-01-22,174.029999,174.860001,173.179993,174.660004,165.504898,2611700
2016-01-25,174.100006,174.330002,171.830002,172.070007,163.050674,2756400
2016-01-26,172.850006,174.660004,172.389999,174.399994,165.258545,2262000
2016-01-27,173.889999,175.619995,171.500000,172.419998,163.382309,3543000
2016-01-28,174.130005,174.350006,171.649994,173.360001,164.273041,2616400
2016-01-29,174.339996,177.750000,174.080002,177.750000,168.432953,4453100
2016-02-01,176.610001,178.389999,175.910004,177.589996,168.281326,3923200
2016-02-02,175.860001,176.089996,173.800003,174.369995,165.230087,5101200
2016-02-03,175.470001,175.809998,171.570007,175.389999,166.196655,3871000
2016-02-04,174.949997,176.699997,174.229996,175.610001,166.405090,3561700
2016-02-05,175.039993,175.190002,171.649994,172.309998,163.278061,2371900
2016-02-08,170.289993,170.619995,167.619995,169.940002,161.032288,3402000
2016-02-09,168.179993,171.369995,167.970001,169.990005,161.079681,2359700
2016-02-10,170.929993,172.649994,169.720001,169.880005,160.975449,1953600
2016-02-11,167.259995,168.720001,166.050003,167.699997,158.909714,3439200
2016-02-12,169.539993,171.139999,168.699997,171.139999,162.169434,1800300
2016-02-16,173.199997,174.009995,172.050003,174.009995,164.888977,2361000
2016-02-17,175.320007,177.250000,175.119995,176.860001,167.589600,2265400
2016-02-18,177.199997,177.220001,175.800003,176.110001,166.878891,1646000
2016-02-19,175.279999,176.199997,174.649994,176.070007,166.841003,1136900
2016-02-22,177.779999,178.750000,177.710007,178.589996,169.228867,2603100
2016-02-23,177.919998,178.190002,176.220001,176.350006,167.106339,2076000
2016-02-24,174.789993,177.449997,173.600006,177.179993,167.892776,2599800
2016-02-25,177.699997,179.309998,176.830002,179.309998,169.911148,2546000
2016-02-26,180.199997,180.360001,178.740005,178.979996,169.598465,2560800
2016-02-29,178.940002,179.949997,177.380005,177.380005,168.082336,3128400
2016-03-01,178.839996,181.750000,178.330002,181.750000,172.223251,3041400
2016-03-02,181.360001,182.539993,180.910004,182.520004,172.952942,3839200
2016-03-03,182.270004,183.229996,181.699997,183.190002,173.587769,3150400
2016-03-04,183.449997,184.660004,182.550003,183.779999,174.146881,2821000
2016-03-07,182.850006,184.389999,182.750000,183.979996,174.336380,3449900
2016-03-08,182.830002,183.330002,181.779999,181.910004,172.374878,3385400
2016-03-09,182.850006,183.220001,182.009995,182.910004,173.322479,1641600
2016-03-10,183.380005,184.389999,181.029999,183.009995,173.417206,2089000
2016-03-11,184.570007,186.009995,184.460007,185.979996,176.231537,2231000
2016-03-14,185.399994,186.199997,185.070007,185.699997,175.966248,1412800
2016-03-15,184.699997,185.460007,184.419998,185.460007,175.738815,1325300
2016-03-16,184.880005,186.929993,184.860001,186.570007,176.790649,2700700
2016-03-17,186.419998,188.240005,186.000000,187.750000,177.908768,1937300
2016-03-18,188.350006,188.789993,187.910004,188.449997,178.572052,2623400
2016-03-21,187.179993,187.940002,186.910004,187.729996,178.844559,1535400
2016-03-22,186.889999,188.210007,186.710007,187.630005,178.749298,1521600
2016-03-23,187.179993,187.360001,186.179993,186.429993,177.606033,1633300
2016-03-24,185.250000,186.320007,185.009995,186.300003,177.482193,1874800
2016-03-28,186.759995,186.940002,185.919998,186.429993,177.606033,1271200
2016-03-29,185.990005,188.220001,185.630005,188.220001,179.311340,1603300
2016-03-30,189.169998,189.720001,188.580002,189.009995,180.063995,1908400
2016-03-31,188.850006,189.289993,188.320007,188.559998,179.635254,3007800
2016-04-01,187.399994,189.960007,187.100006,189.770004,180.788010,2971800
2016-04-04,189.740005,189.899994,188.830002,189.169998,180.216385,1259500
2016-04-05,187.740005,188.210007,187.000000,187.250000,178.387253,1737500
2016-04-06,187.389999,189.380005,187.089996,189.289993,180.330704,1852100
2016-04-07,188.169998,188.500000,186.259995,187.059998,178.206268,2635300
2016-04-08,188.309998,188.770004,186.990005,187.570007,178.692123,2043800
2016-04-11,188.259995,188.990005,187.029999,187.080002,178.225327,1355300
2016-04-12,187.289993,189.179993,186.830002,188.899994,179.959198,1590700
2016-04-13,189.880005,190.850006,189.710007,190.789993,181.759689,1972900
2016-04-14,190.839996,191.309998,190.410004,190.770004,181.740646,3214800
2016-04-15,190.800003,190.850006,190.220001,190.559998,181.540573,2059700
2016-04-18,189.990005,191.940002,189.850006,191.940002,182.855301,2344500
2016-04-19,192.360001,192.779999,191.639999,192.520004,183.407806,1633300
2016-04-20,192.600006,193.429993,192.050003,192.679993,183.560226,1636800
2016-04-21,192.699997,192.820007,191.369995,191.610001,182.540894,1814700
2016-04-22,191.300003,191.940002,190.690002,191.660004,182.588547,1863900
2016-04-25,191.070007,191.360001,190.350006,191.350006,182.293198,2368000
2016-04-26,191.720001,192.160004,191.139999,191.630005,182.559982,1715300
2016-04-27,191.210007,192.440002,190.800003,192.029999,182.941040,1971700
2016-04-28,191.220001,192.399994,189.850006,190.300003,181.292908,1578800
2016-04-29,189.619995,189.979996,188.050003,189.220001,180.264023,2785500
2016-05-02,189.809998,190.949997,189.339996,190.729996,181.702530,1638900
2016-05-03,189.440002,189.660004,188.279999,189.100006,180.149719,2351900
